URL,Occurrencies
http://www.ncbi.nlm.nih.gov/pubmed/15858239,1
http://www.ncbi.nlm.nih.gov/pubmed/15829955,1
http://www.ncbi.nlm.nih.gov/pubmed/20598273,2
http://www.ncbi.nlm.nih.gov/pubmed/6650562,1
http://www.ncbi.nlm.nih.gov/pubmed/12239580,1
http://www.ncbi.nlm.nih.gov/pubmed/21995290,2
http://www.ncbi.nlm.nih.gov/pubmed/15617541,1
http://www.ncbi.nlm.nih.gov/pubmed/23001136,2
http://www.ncbi.nlm.nih.gov/pubmed/8896569,3
http://www.ncbi.nlm.nih.gov/pubmed/23959273,1
http://www.ncbi.nlm.nih.gov/pubmed/21514161,1
http://www.ncbi.nlm.nih.gov/pubmed/23787814,1
http://www.ncbi.nlm.nih.gov/pubmed/23888072,1
http://www.ncbi.nlm.nih.gov/pubmed/23821377,1
http://www.ncbi.nlm.nih.gov/pubmed/24124521,1
http://www.ncbi.nlm.nih.gov/pubmed/22260327,1
http://www.ncbi.nlm.nih.gov/pubmed/24204699,1
http://www.ncbi.nlm.nih.gov/pubmed/24323361,1
http://www.ncbi.nlm.nih.gov/pubmed/23089711,1
http://www.ncbi.nlm.nih.gov/pubmed/23399900,1
http://www.ncbi.nlm.nih.gov/pubmed/23382875,1
http://www.ncbi.nlm.nih.gov/pubmed/23729230,1
http://www.ncbi.nlm.nih.gov/pubmed/23212918,1
http://www.ncbi.nlm.nih.gov/pubmed/23099994,1
http://www.ncbi.nlm.nih.gov/pubmed/22247333,1
http://www.ncbi.nlm.nih.gov/pubmed/3320045,1
http://www.ncbi.nlm.nih.gov/pubmed/7515725,1
http://www.ncbi.nlm.nih.gov/pubmed/20805556,1
http://www.ncbi.nlm.nih.gov/pubmed/19297413,1
http://www.ncbi.nlm.nih.gov/pubmed/19724244,1
http://www.ncbi.nlm.nih.gov/pubmed/15094122,1
http://www.ncbi.nlm.nih.gov/pubmed/12666201,1
http://www.ncbi.nlm.nih.gov/pubmed/21784067,1
http://www.ncbi.nlm.nih.gov/pubmed/11076767,1
http://www.ncbi.nlm.nih.gov/pubmed/15094110,1
http://www.ncbi.nlm.nih.gov/pubmed/22955988,3
http://www.ncbi.nlm.nih.gov/pubmed/22955974,2
http://www.ncbi.nlm.nih.gov/pubmed/24285305,1
http://www.ncbi.nlm.nih.gov/pubmed/22707570,2
http://www.ncbi.nlm.nih.gov/pubmed/21622663,2
http://www.ncbi.nlm.nih.gov/pubmed/24106460,1
http://www.ncbi.nlm.nih.gov/pubmed/22948539,1
http://www.ncbi.nlm.nih.gov/pubmed/23698708,1
http://www.ncbi.nlm.nih.gov/pubmed/23827649,1
http://www.ncbi.nlm.nih.gov/pubmed/22901753,1
http://www.ncbi.nlm.nih.gov/pubmed/21618594,1
http://www.ncbi.nlm.nih.gov/pubmed/23835909,1
http://www.ncbi.nlm.nih.gov/pubmed/23632157,1
http://www.ncbi.nlm.nih.gov/pubmed/24265865,1
http://www.ncbi.nlm.nih.gov/pubmed/24267510,1
http://www.ncbi.nlm.nih.gov/pubmed/22867712,1
http://www.ncbi.nlm.nih.gov/pubmed/26191653,1
http://www.ncbi.nlm.nih.gov/pubmed/21345725,1
http://www.ncbi.nlm.nih.gov/pubmed/22246341,1
http://www.ncbi.nlm.nih.gov/pubmed/23888941,1
http://www.ncbi.nlm.nih.gov/pubmed/23836287,1
http://www.ncbi.nlm.nih.gov/pubmed/23542579,1
http://www.ncbi.nlm.nih.gov/pubmed/20035894,1
http://www.ncbi.nlm.nih.gov/pubmed/19074899,1
http://www.ncbi.nlm.nih.gov/pubmed/23978303,1
http://www.ncbi.nlm.nih.gov/pubmed/18954897,1
http://www.ncbi.nlm.nih.gov/pubmed/21571355,1
http://www.ncbi.nlm.nih.gov/pubmed/21971665,2
http://www.ncbi.nlm.nih.gov/pubmed/23918241,1
http://www.ncbi.nlm.nih.gov/pubmed/23272653,1
http://www.ncbi.nlm.nih.gov/pubmed/23621186,1
http://www.ncbi.nlm.nih.gov/pubmed/21815707,1
http://www.ncbi.nlm.nih.gov/pubmed/21845054,1
http://www.ncbi.nlm.nih.gov/pubmed/21328290,1
http://www.ncbi.nlm.nih.gov/pubmed/20663605,1
http://www.ncbi.nlm.nih.gov/pubmed/21133188,1
http://www.ncbi.nlm.nih.gov/pubmed/15610702,1
http://www.ncbi.nlm.nih.gov/pubmed/24126422,1
http://www.ncbi.nlm.nih.gov/pubmed/22826702,1
http://www.ncbi.nlm.nih.gov/pubmed/21942303,1
http://www.ncbi.nlm.nih.gov/pubmed/23759273,1
http://www.ncbi.nlm.nih.gov/pubmed/21129866,1
http://www.ncbi.nlm.nih.gov/pubmed/23956508,1
http://www.ncbi.nlm.nih.gov/pubmed/22716221,1
http://www.ncbi.nlm.nih.gov/pubmed/23757624,1
http://www.ncbi.nlm.nih.gov/pubmed/23367751,1
http://www.ncbi.nlm.nih.gov/pubmed/22074657,1
http://www.ncbi.nlm.nih.gov/pubmed/21785279,1
http://www.ncbi.nlm.nih.gov/pubmed/21113693,1
http://www.ncbi.nlm.nih.gov/pubmed/24114694,1
http://www.ncbi.nlm.nih.gov/pubmed/22540167,1
http://www.ncbi.nlm.nih.gov/pubmed/24308016,1
http://www.ncbi.nlm.nih.gov/pubmed/21208140,1
http://www.ncbi.nlm.nih.gov/pubmed/23652187,1
http://www.ncbi.nlm.nih.gov/pubmed/21170699,1
http://www.ncbi.nlm.nih.gov/pubmed/21470540,1
http://www.ncbi.nlm.nih.gov/pubmed/24316116,1
http://www.ncbi.nlm.nih.gov/pubmed/20811384,2
http://www.ncbi.nlm.nih.gov/pubmed/12883684,1
http://www.ncbi.nlm.nih.gov/pubmed/24040443,1
http://www.ncbi.nlm.nih.gov/pubmed/19618470,1
http://www.ncbi.nlm.nih.gov/pubmed/8817329,1
http://www.ncbi.nlm.nih.gov/pubmed/8856345,1
http://www.ncbi.nlm.nih.gov/pubmed/23836490,1
http://www.ncbi.nlm.nih.gov/pubmed/8149913,1
http://www.ncbi.nlm.nih.gov/pubmed/7958461,1
http://www.ncbi.nlm.nih.gov/pubmed/16457155,1
http://www.ncbi.nlm.nih.gov/pubmed/3819049,1
http://www.ncbi.nlm.nih.gov/pubmed/18775590,1
http://www.ncbi.nlm.nih.gov/pubmed/22146896,1
http://www.ncbi.nlm.nih.gov/pubmed/6225397,1
http://www.ncbi.nlm.nih.gov/pubmed/18672707,1
http://www.ncbi.nlm.nih.gov/pubmed/7796616,1
http://www.ncbi.nlm.nih.gov/pubmed/16435144,1
http://www.ncbi.nlm.nih.gov/pubmed/7640201,1
http://www.ncbi.nlm.nih.gov/pubmed/22252191,1
http://www.ncbi.nlm.nih.gov/pubmed/17097409,1
http://www.ncbi.nlm.nih.gov/pubmed/17374318,1
http://www.ncbi.nlm.nih.gov/pubmed/22470801,1
http://www.ncbi.nlm.nih.gov/pubmed/8949310,1
http://www.ncbi.nlm.nih.gov/pubmed/1521479,1
http://www.ncbi.nlm.nih.gov/pubmed/1433123,1
http://www.ncbi.nlm.nih.gov/pubmed/9803978,1
http://www.ncbi.nlm.nih.gov/pubmed/11564050,1
http://www.ncbi.nlm.nih.gov/pubmed/1290288,1
http://www.ncbi.nlm.nih.gov/pubmed/7875632,1
http://www.ncbi.nlm.nih.gov/pubmed/10810787,1
http://www.ncbi.nlm.nih.gov/pubmed/23028706,1
http://www.ncbi.nlm.nih.gov/pubmed/21639801,1
http://www.ncbi.nlm.nih.gov/pubmed/11532344,1
http://www.ncbi.nlm.nih.gov/pubmed/22842086,1
http://www.ncbi.nlm.nih.gov/pubmed/21356309,1
http://www.ncbi.nlm.nih.gov/pubmed/11732008,1
http://www.ncbi.nlm.nih.gov/pubmed/16307184,1
http://www.ncbi.nlm.nih.gov/pubmed/9624027,1
